consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
170735,Illinois,Urban,2016-08-31T00:26:00Z,Dark – Lighted,41.87912778,-87.84380556,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Specifics Unknown",54,Not Distracted,"Emotional (Depressed, Angry, Disturbed, etc.)",No Obstruction Noted,Clear
40584,Arizona,Urban,2016-01-31T16:35:00Z,Daylight,33.41938611,-111.65651667,Dry,Not Reported,Straight,Level,No,10,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
121692,Florida,Urban,2016-04-30T08:18:00Z,Dark – Lighted,26.34418889,-80.1884,Dry,Not Reported,Curve Left,Level,"Yes, Exceeded Speed Limit",30,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
320022,Nevada,Urban,2016-02-04T19:52:00Z,Dark – Lighted,39.19014444,-119.73430556,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",95,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
40234,Arizona,Urban,2016-04-27T08:13:00Z,Daylight,32.41902222,-110.96125,Dry,Not Reported,Straight,Level,"Yes, Too Fast for Conditions",50,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
320179,Nevada,Urban,2016-07-28T14:54:00Z,Daylight,36.07145556,-115.03504444,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,No,43,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122599,Florida,Urban,2016-11-21T21:30:00Z,Dark – Lighted,26.56476944,-81.84696389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,57,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
360166,New York,Urban,2016-03-11T17:57:00Z,Daylight,40.8045,-72.85119722,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420555,Pennsylvania,Rural,2016-08-08T17:29:00Z,Daylight,40.21836111,-75.06286111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Specifics Unknown",69,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
210649,Kentucky,Urban,2016-11-13T02:25:00Z,Dark – Lighted,38.02273889,-84.40458056,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",75,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
123003,Florida,Rural,2016-08-29T22:55:00Z,Dark – Lighted,24.56437222,-81.75031944,Dry,Not Reported,Straight,Uphill,No,35,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120098,Florida,Urban,2016-01-19T21:57:00Z,Dark – Lighted,28.46361111,-81.40138889,Dry,Not Reported,Straight,Level,No,35,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
122877,Florida,Urban,2016-12-26T14:51:00Z,Daylight,28.67967222,-81.33783889,Dry,Not Reported,Curve Left,Level,No,25,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122381,Florida,Urban,2016-10-21T19:15:00Z,Dark – Lighted,27.79341389,-82.70067778,Dry,Not Reported,Curve Left,Level,No,30,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
